id,age,gender,education_level,income_bracket,urbanicity,country,trust_vaccine,concern_side_effects,ad_group,recall_ad,post_trust_vaccine,post_concern_side_effects,vaccine_uptake,vaccine_uptake_status
48,26,Male,Doctorate,30k–60k,Suburban,India,5,4,Emotion,Yes,3,2,Yes,1
50,36,Male,High school,60k–100k,Rural,USA,3,2,Control,No,2,1,Yes,1
51,33,Male,Master's,30k–60k,Rural,Canada,3,3,Control,No,2,2,Yes,1
52,45,Male,Master's,100k+,Suburban,India,1,5,Control,No,1,2,No,0
53,30,Male,Bachelor's,<30k,Urban,UK,4,3,Control,No,4,2,Yes,1
55,20,Female,Master's,<30k,Rural,Nigeria,2,3,Control,No,3,4,Yes,1
56,18,Male,Bachelor's,100k+,Urban,India,5,2,Control,No,3,5,No,0
57,22,Female,Bachelor's,100k+,Urban,USA,4,3,Emotion,No,1,5,Yes,1
58,38,Female,High school,<30k,Rural,India,3,2,Emotion,No,1,1,Yes,1
59,52,Male,Doctorate,30k–60k,Urban,Nigeria,1,1,Reason,Yes,3,3,Yes,1
60,42,Male,Bachelor's,100k+,Urban,Nigeria,2,5,Control,No,3,2,No,0
61,33,Female,High school,<30k,Urban,India,3,4,Control,No,5,1,Yes,1
62,51,Male,Master's,<30k,Suburban,Other,3,4,Control,No,5,5,No,0
63,66,Male,Master's,<30k,Rural,Brazil,2,4,Emotion,Yes,3,2,Yes,1
64,32,Male,Bachelor's,<30k,Suburban,USA,1,5,Emotion,No,5,4,Yes,1
66,49,Female,Bachelor's,<30k,Rural,Nigeria,4,4,Reason,No,1,1,No,0
67,38,Female,High school,30k–60k,Urban,India,5,2,Control,No,1,3,Yes,1
68,23,Female,Bachelor's,60k–100k,Suburban,USA,3,1,Emotion,Yes,5,5,Yes,1
69,27,Female,Bachelor's,<30k,Suburban,India,4,2,Reason,Yes,4,4,Yes,1
70,30,Female,Bachelor's,<30k,Urban,Nigeria,4,1,Emotion,No,2,1,Yes,1
71,30,Male,Master's,30k–60k,Rural,USA,4,4,Emotion,Yes,2,4,Yes,1
73,40,Male,Bachelor's,60k–100k,Rural,India,4,5,Reason,No,4,2,Yes,1
74,24,Male,Bachelor's,30k–60k,Suburban,UK,2,3,Reason,Yes,5,3,Yes,1
75,31,Male,Master's,<30k,Suburban,India,3,4,Control,No,4,3,Yes,1
77,51,Female,High school,30k–60k,Suburban,India,4,3,Emotion,No,5,2,No,0
78,35,Male,Bachelor's,100k+,Urban,India,3,5,Emotion,No,3,2,Yes,1
79,49,Female,Master's,<30k,Suburban,India,5,3,Reason,Yes,5,4,Yes,1
81,62,Female,Bachelor's,100k+,Urban,UK,3,3,Reason,Yes,4,2,No,0
82,32,Male,Bachelor's,30k–60k,Rural,Brazil,1,2,Reason,Yes,1,5,Yes,1
83,60,Female,Bachelor's,60k–100k,Rural,India,4,1,Emotion,Yes,4,3,No,0
84,28,Male,Doctorate,100k+,Urban,India,2,4,Control,No,2,1,Yes,1
85,30,Female,Bachelor's,<30k,Urban,Other,5,3,Reason,Yes,5,3,Yes,1
86,18,Male,Master's,60k–100k,Suburban,India,2,5,Emotion,Yes,5,4,No,0
87,19,Female,High school,100k+,Urban,Other,2,4,Control,No,1,3,Yes,1
88,26,Male,Master's,<30k,Suburban,Canada,5,2,Emotion,Yes,3,1,Yes,1
89,32,Male,Master's,30k–60k,Suburban,Brazil,2,3,Reason,Yes,2,4,Yes,1
90,22,Male,High school,<30k,Urban,Nigeria,1,3,Control,No,5,1,Yes,1
91,63,Female,High school,30k–60k,Urban,Brazil,2,5,Reason,Yes,1,5,Yes,1
92,71,Female,Bachelor's,30k–60k,Suburban,UK,4,4,Reason,No,3,5,No,0
93,20,Female,Master's,<30k,Rural,USA,2,4,Control,No,1,2,No,0
94,55,Male,Master's,<30k,Urban,Nigeria,4,3,Control,No,5,5,Yes,1
95,40,Male,High school,100k+,Urban,Brazil,5,4,Control,No,2,3,Yes,1
96,39,Male,High school,30k–60k,Suburban,USA,2,2,Emotion,No,5,4,No,0
97,50,Female,High school,30k–60k,Rural,USA,4,3,Control,No,1,1,No,0
98,49,Male,Master's,30k–60k,Urban,UK,2,3,Emotion,No,3,3,Yes,1
99,40,Female,Master's,60k–100k,Rural,Brazil,3,4,Reason,No,4,1,No,0
100,32,Non-binary,Bachelor's,<30k,Urban,India,3,4,Emotion,No,3,1,Yes,1
101,41,Female,High school,30k–60k,Urban,USA,4,4,Control,No,5,3,Yes,1
102,75,Male,Master's,<30k,Suburban,India,3,5,Reason,No,4,3,No,0
103,31,Male,Bachelor's,<30k,Suburban,India,2,3,Reason,No,4,4,Yes,1
104,48,Male,Master's,60k–100k,Urban,USA,2,4,Reason,Yes,5,4,No,0
105,22,Female,Bachelor's,30k–60k,Rural,India,3,2,Reason,No,4,4,Yes,1
106,52,Female,Master's,<30k,Suburban,Brazil,3,2,Control,No,3,5,Yes,1
107,61,Female,Bachelor's,30k–60k,Suburban,Canada,2,4,Control,No,3,1,Yes,1
108,21,Male,High school,60k–100k,Urban,Brazil,1,5,Emotion,Yes,5,5,Yes,1
109,40,Male,Master's,<30k,Rural,Canada,3,1,Control,No,2,3,Yes,1
110,63,Female,High school,100k+,Urban,Nigeria,2,5,Emotion,No,3,5,Yes,1
111,60,Female,High school,<30k,Rural,USA,4,5,Reason,Yes,1,1,No,0
112,33,Non-binary,Master's,60k–100k,Urban,India,3,3,Emotion,Yes,4,4,Yes,1
113,51,Female,High school,60k–100k,Urban,USA,2,2,Control,No,4,3,Yes,1
115,33,Male,Bachelor's,30k–60k,Urban,India,3,5,Reason,No,1,1,No,0
116,28,Male,High school,<30k,Suburban,Nigeria,4,2,Reason,No,3,5,Yes,1
117,33,Female,Bachelor's,<30k,Suburban,Nigeria,2,2,Emotion,Yes,2,3,Yes,1
118,37,Male,Bachelor's,30k–60k,Rural,USA,5,5,Emotion,No,5,3,Yes,1
119,20,Male,High school,30k–60k,Suburban,Brazil,3,4,Control,No,2,2,No,0
120,31,Male,High school,30k–60k,Suburban,USA,3,3,Control,No,4,4,No,0
121,37,Male,Master's,100k+,Suburban,India,2,4,Control,No,5,3,Yes,1
122,42,Male,Bachelor's,30k–60k,Rural,India,4,4,Emotion,Yes,4,2,Yes,1
123,53,Female,Bachelor's,<30k,Rural,Nigeria,3,2,Control,No,1,4,No,0
124,36,Female,Master's,<30k,Rural,USA,3,4,Control,No,2,5,No,0
125,39,Female,High school,30k–60k,Urban,Nigeria,3,3,Emotion,No,4,3,Yes,1
126,37,Female,Master's,<30k,Urban,India,1,2,Control,No,3,4,Yes,1
127,59,Female,High school,<30k,Rural,Nigeria,4,3,Reason,No,5,5,No,0
128,60,Male,High school,100k+,Urban,India,2,2,Emotion,Yes,3,3,Yes,1
129,31,Male,High school,<30k,Urban,UK,3,3,Emotion,No,3,2,No,0
130,42,Male,Bachelor's,100k+,Urban,India,1,1,Emotion,Yes,4,2,Yes,1
131,31,Male,Master's,<30k,Suburban,Brazil,3,4,Reason,Yes,3,2,Yes,1
132,40,Male,Bachelor's,60k–100k,Rural,Other,4,3,Control,No,4,2,Yes,1
133,28,Female,High school,60k–100k,Suburban,USA,4,5,Control,No,3,2,Yes,1
134,21,Male,Master's,60k–100k,Suburban,USA,2,5,Reason,Yes,2,3,No,0
135,20,Female,Bachelor's,30k–60k,Suburban,India,1,3,Emotion,Yes,2,2,Yes,1
136,43,Female,Bachelor's,30k–60k,Urban,Canada,4,3,Reason,Yes,3,4,Yes,1
137,73,Male,Bachelor's,100k+,Suburban,India,4,2,Control,No,4,3,No,0
138,33,Male,High school,<30k,Suburban,UK,3,3,Reason,No,3,1,Yes,1
139,19,Female,Master's,<30k,Urban,USA,2,3,Control,No,3,5,No,0
140,41,Male,High school,30k–60k,Suburban,UK,2,3,Reason,No,1,3,Yes,1
141,19,Female,Bachelor's,100k+,Rural,Canada,1,4,Emotion,No,5,3,No,0
142,63,Male,Bachelor's,<30k,Urban,USA,1,4,Control,No,2,2,Yes,1
143,33,Male,High school,100k+,Suburban,USA,1,2,Reason,Yes,4,4,Yes,1
144,68,Male,Bachelor's,100k+,Urban,UK,2,5,Emotion,Yes,1,3,Yes,1
145,28,Female,Doctorate,30k–60k,Rural,Nigeria,5,2,Emotion,No,5,4,Yes,1
146,42,Female,Master's,60k–100k,Suburban,Nigeria,3,4,Reason,Yes,1,3,No,0
147,27,Male,Master's,30k–60k,Suburban,Nigeria,5,2,Emotion,Yes,1,5,Yes,1
148,19,Male,High school,<30k,Urban,Nigeria,4,3,Emotion,No,5,4,No,0
149,31,Female,High school,<30k,Urban,Brazil,5,1,Reason,No,2,5,No,0
150,53,Female,High school,30k–60k,Urban,USA,2,1,Control,No,1,4,Yes,1
151,47,Female,Bachelor's,60k–100k,Rural,India,3,2,Reason,No,2,1,Yes,1
152,60,Male,Bachelor's,100k+,Urban,Brazil,1,5,Emotion,Yes,4,2,Yes,1
153,32,Male,Master's,100k+,Suburban,UK,4,3,Emotion,Yes,3,4,Yes,1
154,51,Female,Master's,30k–60k,Urban,Brazil,2,2,Control,No,2,2,Yes,1
155,56,Male,Bachelor's,60k–100k,Urban,USA,4,4,Control,No,1,4,No,0
156,24,Male,Bachelor's,30k–60k,Urban,Nigeria,2,5,Reason,No,3,1,Yes,1
157,27,Male,Master's,30k–60k,Urban,USA,4,3,Control,No,3,4,Yes,1
158,29,Male,Bachelor's,30k–60k,Urban,UK,2,5,Control,No,1,5,No,0
159,25,Female,Master's,<30k,Rural,Brazil,5,3,Reason,No,2,4,Yes,1
160,46,Non-binary,High school,<30k,Urban,UK,1,4,Reason,No,4,1,Yes,1
161,30,Male,Master's,100k+,Rural,Other,3,4,Reason,No,5,4,No,0
163,62,Female,Master's,100k+,Urban,India,2,2,Emotion,No,3,4,No,0
164,31,Male,High school,100k+,Urban,Canada,2,2,Emotion,Yes,4,2,No,0
165,39,Female,Master's,30k–60k,Urban,UK,4,3,Emotion,Yes,5,5,Yes,1
166,64,Female,High school,30k–60k,Urban,Other,2,3,Emotion,Yes,2,5,Yes,1
167,30,Female,Master's,<30k,Suburban,USA,4,3,Emotion,No,5,3,Yes,1
168,32,Female,Master's,100k+,Suburban,USA,4,2,Reason,No,5,2,Yes,1
169,21,Male,Master's,30k–60k,Suburban,India,3,4,Emotion,Yes,1,5,No,0
170,40,Male,High school,30k–60k,Suburban,Brazil,3,2,Emotion,No,4,1,Yes,1
171,21,Female,High school,100k+,Rural,USA,2,3,Reason,No,1,2,Yes,1
172,39,Male,High school,<30k,Suburban,USA,4,2,Emotion,Yes,4,1,Yes,1
173,55,Female,Bachelor's,<30k,Urban,USA,2,2,Control,No,4,3,No,0
174,53,Male,Doctorate,<30k,Rural,India,2,2,Reason,No,4,4,Yes,1
175,32,Male,High school,100k+,Rural,India,4,1,Reason,No,1,3,Yes,1
176,40,Male,Bachelor's,100k+,Urban,USA,2,2,Reason,Yes,3,2,No,0
177,26,Male,High school,30k–60k,Urban,India,4,4,Emotion,No,3,5,Yes,1
178,26,Male,Bachelor's,<30k,Urban,India,4,3,Control,No,4,3,Yes,1
179,50,Female,Master's,30k–60k,Rural,Nigeria,5,3,Control,No,4,2,No,0
180,22,Male,Bachelor's,30k–60k,Urban,USA,3,3,Emotion,Yes,5,3,Yes,1
181,52,Male,High school,30k–60k,Urban,Brazil,1,4,Control,No,4,4,Yes,1
182,56,Female,Master's,30k–60k,Suburban,UK,4,5,Reason,Yes,5,2,No,0
183,30,Male,High school,<30k,Urban,Nigeria,4,4,Reason,Yes,2,1,No,0
184,55,Male,Bachelor's,30k–60k,Suburban,India,5,1,Emotion,Yes,2,3,Yes,1
185,77,Male,Master's,60k–100k,Urban,Canada,4,3,Control,No,2,2,Yes,1
186,49,Male,High school,30k–60k,Urban,UK,2,4,Reason,Yes,5,1,No,0
188,66,Male,Bachelor's,<30k,Urban,UK,4,4,Emotion,Yes,1,1,No,0
189,24,Male,Bachelor's,30k–60k,Rural,USA,2,1,Emotion,Yes,3,3,Yes,1
190,33,Female,Bachelor's,30k–60k,Rural,Nigeria,4,1,Reason,No,2,5,Yes,1
191,31,Male,Master's,100k+,Suburban,Canada,3,4,Emotion,No,1,2,Yes,1
192,59,Male,Bachelor's,60k–100k,Suburban,India,3,1,Emotion,Yes,5,3,Yes,1
193,28,Female,Master's,<30k,Urban,Canada,3,1,Control,No,1,4,No,0
195,33,Female,High school,<30k,Rural,India,4,4,Emotion,Yes,3,4,Yes,1
197,31,Male,Master's,<30k,Urban,India,5,2,Control,No,5,4,Yes,1
198,31,Male,Bachelor's,<30k,Urban,USA,2,4,Reason,No,3,5,No,0
200,28,Male,Master's,60k–100k,Urban,Canada,4,3,Reason,No,4,1,Yes,1
202,30,Male,Master's,<30k,Rural,USA,3,3,Emotion,No,4,5,Yes,1
203,20,Male,Bachelor's,30k–60k,Urban,Nigeria,4,1,Reason,No,4,1,Yes,1
204,27,Female,High school,100k+,Rural,Brazil,2,3,Emotion,No,3,5,No,0
205,50,Female,Master's,30k–60k,Urban,USA,5,4,Control,No,3,1,Yes,1
206,55,Female,Master's,<30k,Urban,India,4,1,Reason,No,3,5,No,0
207,38,Female,Bachelor's,<30k,Urban,Nigeria,3,4,Reason,No,1,4,Yes,1
209,27,Female,Bachelor's,<30k,Suburban,Nigeria,1,2,Emotion,No,4,3,Yes,1
210,44,Female,Bachelor's,100k+,Urban,UK,4,4,Emotion,No,1,5,Yes,1
211,22,Female,High school,<30k,Urban,India,4,5,Reason,No,5,4,Yes,1
212,59,Female,Bachelor's,60k–100k,Urban,USA,4,4,Control,No,2,2,Yes,1
213,30,Female,Bachelor's,<30k,Urban,India,5,1,Reason,Yes,3,2,No,0
214,52,Non-binary,High school,<30k,Urban,Nigeria,3,5,Reason,Yes,4,5,No,0
215,62,Male,Bachelor's,30k–60k,Urban,Other,2,4,Control,No,1,3,Yes,1
218,32,Female,High school,30k–60k,Suburban,USA,3,2,Emotion,Yes,5,5,Yes,1
219,59,Female,High school,30k–60k,Suburban,Nigeria,3,3,Emotion,Yes,3,5,Yes,1
220,40,Female,High school,100k+,Suburban,USA,2,2,Control,No,4,2,Yes,1
221,34,Male,High school,<30k,Suburban,Nigeria,1,2,Emotion,No,5,1,Yes,1
222,19,Male,High school,<30k,Urban,Nigeria,5,4,Control,No,5,4,Yes,1
223,21,Female,Master's,100k+,Rural,Brazil,2,1,Emotion,Yes,4,5,Yes,1
224,19,Non-binary,High school,100k+,Urban,India,3,2,Reason,No,4,4,Yes,1
225,21,Male,Master's,<30k,Urban,India,4,4,Emotion,Yes,5,3,Yes,1
226,26,Female,Master's,<30k,Urban,Nigeria,3,1,Emotion,No,4,3,Yes,1
227,26,Female,High school,60k–100k,Suburban,Nigeria,3,1,Reason,Yes,3,2,No,0
228,40,Female,Bachelor's,30k–60k,Suburban,Brazil,3,3,Reason,Yes,1,5,Yes,1
229,20,Female,High school,<30k,Urban,India,2,3,Emotion,No,4,1,Yes,1
230,31,Male,High school,<30k,Suburban,UK,3,2,Reason,No,1,5,Yes,1
231,62,Male,High school,30k–60k,Urban,UK,3,4,Reason,No,1,3,Yes,1
232,30,Female,Master's,100k+,Urban,India,5,4,Reason,No,5,3,No,0
233,27,Male,Bachelor's,30k–60k,Urban,Nigeria,4,5,Control,No,2,3,Yes,1
234,74,Non-binary,Bachelor's,30k–60k,Urban,Nigeria,2,3,Emotion,Yes,5,5,Yes,1
235,20,Male,Master's,30k–60k,Urban,UK,4,2,Control,No,4,4,Yes,1
236,68,Female,Master's,100k+,Suburban,USA,5,3,Control,No,3,5,No,0
237,24,Female,Master's,100k+,Suburban,Nigeria,5,5,Emotion,Yes,1,1,Yes,1
238,30,Male,High school,<30k,Urban,India,4,4,Reason,No,1,1,No,0
239,23,Female,Master's,60k–100k,Urban,Nigeria,4,4,Emotion,No,5,3,No,0
240,43,Male,High school,<30k,Urban,India,2,3,Control,No,5,5,Yes,1
242,30,Male,High school,60k–100k,Rural,India,2,4,Emotion,Yes,2,4,Yes,1
243,31,Female,Master's,30k–60k,Suburban,USA,1,4,Reason,Yes,3,4,Yes,1
244,63,Female,Master's,<30k,Rural,USA,3,5,Reason,No,4,5,No,0
245,19,Male,High school,100k+,Urban,USA,3,4,Control,No,2,5,No,0
246,32,Female,Bachelor's,<30k,Suburban,USA,4,3,Reason,No,2,5,Yes,1
247,32,Non-binary,Master's,<30k,Urban,Canada,1,5,Emotion,Yes,4,4,Yes,1
248,31,Female,Master's,30k–60k,Urban,Nigeria,1,2,Control,No,3,3,No,0
249,36,Male,Bachelor's,<30k,Urban,USA,2,3,Emotion,No,1,5,No,0
250,40,Non-binary,Master's,60k–100k,Suburban,Brazil,4,2,Reason,Yes,5,5,Yes,1
251,21,Female,High school,<30k,Urban,USA,5,4,Control,No,3,1,No,0
252,74,Female,Bachelor's,30k–60k,Urban,UK,2,4,Control,No,1,5,Yes,1
253,27,Female,High school,100k+,Urban,India,3,2,Emotion,No,1,5,No,0
254,49,Female,High school,<30k,Urban,UK,3,4,Emotion,Yes,3,5,Yes,1
256,40,Female,Master's,60k–100k,Suburban,USA,2,3,Control,No,3,1,Yes,1
257,33,Non-binary,Master's,<30k,Rural,Nigeria,4,2,Emotion,Yes,5,1,Yes,1
258,33,Male,High school,<30k,Urban,Nigeria,3,3,Emotion,Yes,2,1,No,0
259,20,Female,Bachelor's,60k–100k,Rural,Nigeria,3,2,Emotion,No,3,5,No,0
260,22,Male,Bachelor's,100k+,Urban,USA,5,4,Reason,Yes,2,5,Yes,1
261,45,Male,Bachelor's,<30k,Suburban,Nigeria,1,2,Control,No,2,5,No,0
262,23,Male,Bachelor's,<30k,Suburban,Nigeria,5,4,Control,No,5,3,No,0
263,22,Female,High school,100k+,Suburban,India,3,2,Reason,No,3,2,No,0
264,27,Male,Doctorate,100k+,Urban,India,5,3,Reason,Yes,1,1,Yes,1
265,29,Female,Bachelor's,<30k,Urban,Nigeria,3,5,Reason,No,5,4,No,0
266,28,Female,Master's,30k–60k,Urban,Other,3,4,Control,No,1,4,Yes,1
267,34,Female,Bachelor's,30k–60k,Suburban,Nigeria,2,2,Emotion,Yes,4,3,No,0
268,36,Female,Master's,30k–60k,Rural,Brazil,2,4,Reason,Yes,3,5,No,0
269,33,Female,Bachelor's,<30k,Urban,UK,2,4,Reason,Yes,3,3,No,0
270,20,Female,Master's,<30k,Urban,USA,3,5,Emotion,No,3,1,Yes,1
271,73,Female,Bachelor's,<30k,Urban,Nigeria,2,3,Control,No,1,5,Yes,1
272,24,Male,Bachelor's,100k+,Urban,India,5,3,Reason,Yes,5,5,Yes,1
273,31,Male,Bachelor's,60k–100k,Urban,Brazil,2,3,Emotion,No,2,5,Yes,1
274,28,Female,Master's,100k+,Urban,Brazil,4,4,Reason,No,3,3,No,0
275,20,Female,Master's,100k+,Rural,India,3,4,Emotion,Yes,3,4,Yes,1
277,30,Female,Master's,60k–100k,Urban,Nigeria,4,2,Control,No,1,3,No,0
278,74,Male,Master's,<30k,Suburban,USA,4,3,Control,No,2,5,No,0
279,52,Female,High school,30k–60k,Suburban,USA,3,5,Emotion,No,1,2,Yes,1
280,19,Female,Doctorate,30k–60k,Suburban,India,1,5,Reason,No,5,4,Yes,1
281,27,Female,High school,60k–100k,Urban,UK,3,2,Control,No,4,1,No,0
282,56,Male,High school,<30k,Rural,Brazil,4,4,Control,No,1,5,No,0
283,30,Male,Bachelor's,60k–100k,Suburban,Nigeria,2,5,Control,No,1,2,No,0
285,52,Female,Master's,60k–100k,Urban,Other,1,1,Reason,Yes,1,1,Yes,1
286,49,Female,Master's,60k–100k,Urban,India,4,3,Control,No,3,3,Yes,1
287,51,Male,High school,<30k,Urban,Brazil,1,1,Reason,No,4,5,No,0
288,39,Female,Bachelor's,30k–60k,Suburban,Canada,2,4,Reason,Yes,5,3,No,0
289,20,Female,Bachelor's,100k+,Suburban,USA,2,1,Reason,No,3,4,Yes,1
290,32,Female,Master's,100k+,Suburban,Brazil,4,3,Emotion,Yes,2,5,Yes,1
291,28,Male,Doctorate,30k–60k,Urban,India,1,2,Emotion,Yes,3,3,No,0
292,60,Male,High school,<30k,Urban,Nigeria,4,3,Control,No,2,3,Yes,1
293,30,Male,Master's,30k–60k,Urban,Nigeria,2,4,Control,No,5,1,No,0
295,49,Male,Master's,<30k,Urban,Other,2,2,Reason,Yes,3,1,Yes,1
296,79,Female,Master's,100k+,Rural,India,3,3,Emotion,No,4,3,Yes,1
297,39,Male,Master's,60k–100k,Urban,USA,3,1,Control,No,3,2,Yes,1
298,37,Male,Bachelor's,<30k,Suburban,Other,2,5,Emotion,Yes,5,1,Yes,1
299,43,Female,High school,<30k,Suburban,Brazil,3,3,Control,No,5,5,Yes,1
300,40,Female,High school,<30k,Suburban,Nigeria,2,5,Emotion,No,4,1,Yes,1
301,21,Male,High school,30k–60k,Suburban,India,3,3,Emotion,Yes,1,2,Yes,1
302,19,Non-binary,High school,30k–60k,Urban,Nigeria,3,2,Reason,Yes,4,3,No,0
303,23,Female,High school,<30k,Rural,USA,4,2,Control,No,2,1,No,0
304,29,Female,Bachelor's,30k–60k,Urban,USA,3,2,Control,No,4,1,Yes,1
305,22,Male,Bachelor's,100k+,Urban,Brazil,2,2,Reason,No,1,4,No,0
306,40,Female,Master's,100k+,Suburban,Other,4,2,Emotion,No,4,3,Yes,1
307,30,Female,Master's,30k–60k,Urban,India,4,2,Control,No,5,2,No,0
308,29,Male,High school,30k–60k,Rural,Brazil,1,5,Emotion,No,4,1,Yes,1
309,22,Female,High school,<30k,Suburban,USA,2,3,Emotion,No,3,2,Yes,1
310,28,Male,High school,30k–60k,Urban,USA,2,3,Control,No,1,5,No,0
311,63,Male,High school,60k–100k,Suburban,USA,1,5,Emotion,Yes,3,2,Yes,1
312,31,Male,Bachelor's,100k+,Urban,Brazil,1,4,Emotion,Yes,3,2,Yes,1
313,45,Male,Master's,100k+,Suburban,USA,2,3,Control,No,1,4,Yes,1
315,58,Female,High school,30k–60k,Suburban,India,1,2,Emotion,Yes,1,5,Yes,1
316,33,Female,High school,<30k,Suburban,India,3,3,Emotion,No,3,5,Yes,1
317,38,Non-binary,High school,30k–60k,Suburban,Brazil,2,2,Emotion,No,3,4,Yes,1
318,23,Female,High school,100k+,Rural,Brazil,3,2,Reason,No,4,5,No,0
319,67,Male,High school,<30k,Suburban,USA,2,1,Reason,Yes,2,5,Yes,1
320,25,Non-binary,Bachelor's,<30k,Urban,UK,4,1,Reason,Yes,3,2,Yes,1
321,41,Male,Master's,60k–100k,Urban,Brazil,2,5,Emotion,Yes,2,4,Yes,1
322,57,Female,Bachelor's,<30k,Urban,Nigeria,2,1,Reason,No,2,1,Yes,1
323,80,Male,Master's,100k+,Urban,India,4,3,Control,No,2,4,No,0
324,19,Male,Bachelor's,<30k,Urban,Brazil,2,3,Emotion,No,4,3,Yes,1
325,22,Male,Bachelor's,<30k,Suburban,USA,4,4,Emotion,No,4,1,Yes,1
326,63,Female,High school,<30k,Urban,USA,1,1,Reason,Yes,5,2,Yes,1
327,18,Female,Master's,30k–60k,Urban,Nigeria,3,3,Emotion,No,1,4,Yes,1
328,56,Female,Bachelor's,100k+,Suburban,USA,5,4,Emotion,No,1,4,No,0
329,32,Male,High school,<30k,Urban,Brazil,3,1,Reason,Yes,4,1,Yes,1
330,42,Male,Master's,<30k,Rural,Nigeria,3,3,Emotion,Yes,1,3,No,0
331,25,Female,Bachelor's,30k–60k,Urban,Canada,4,2,Control,No,3,4,Yes,1
332,22,Female,Bachelor's,100k+,Suburban,USA,3,4,Control,No,2,5,No,0
334,31,Female,High school,60k–100k,Urban,India,3,3,Emotion,No,2,1,No,0
