id,age,gender,education_level,income_bracket,urbanicity,country,trust_vaccine,concern_side_effects
35,40,Female,High school,60k–100k,Rural,Brazil,4,4
36,31,Male,Master's,<30k,Suburban,UK,1,3
37,31,Male,Master's,30k–60k,Urban,UK,4,3
38,28,Male,High school,100k+,Urban,India,2,5
39,75,Male,Bachelor's,30k–60k,Urban,India,1,2
40,63,Non-binary,Master's,60k–100k,Suburban,India,2,5
41,19,Male,Bachelor's,30k–60k,Suburban,UK,3,2
42,63,Male,High school,100k+,Rural,Nigeria,3,5
43,48,Male,Bachelor's,30k–60k,Urban,India,5,3
44,51,Male,Master's,60k–100k,Rural,Other,4,4
45,74,Male,Master's,<30k,Suburban,India,5,1
46,47,Male,Bachelor's,<30k,Rural,USA,4,5
47,53,Male,Master's,30k–60k,Urban,UK,2,4
48,26,Male,Doctorate,30k–60k,Suburban,India,5,4
49,20,Female,Master's,100k+,Rural,USA,1,3
50,36,Male,High school,60k–100k,Rural,USA,3,2
51,33,Male,Master's,30k–60k,Rural,Canada,3,3
52,45,Male,Master's,100k+,Suburban,India,1,5
53,30,Male,Bachelor's,<30k,Urban,UK,4,3
54,32,Male,High school,100k+,Rural,India,3,1
55,20,Female,Master's,<30k,Rural,Nigeria,2,3
56,18,Male,Bachelor's,100k+,Urban,India,5,2
57,22,Female,Bachelor's,100k+,Urban,USA,4,3
58,38,Female,High school,<30k,Rural,India,3,2
59,52,Male,Doctorate,30k–60k,Urban,Nigeria,1,1
60,42,Male,Bachelor's,100k+,Urban,Nigeria,2,5
61,33,Female,High school,<30k,Urban,India,3,4
62,51,Male,Master's,<30k,Suburban,Other,3,4
63,66,Male,Master's,<30k,Rural,Brazil,2,4
64,32,Male,Bachelor's,<30k,Suburban,USA,1,5
65,26,Female,Bachelor's,100k+,Urban,UK,4,3
66,49,Female,Bachelor's,<30k,Rural,Nigeria,4,4
67,38,Female,High school,30k–60k,Urban,India,5,2
68,23,Female,Bachelor's,60k–100k,Suburban,USA,3,1
69,27,Female,Bachelor's,<30k,Suburban,India,4,2
70,30,Female,Bachelor's,<30k,Urban,Nigeria,4,1
71,30,Male,Master's,30k–60k,Rural,USA,4,4
72,74,Female,Doctorate,30k–60k,Urban,India,2,5
73,40,Male,Bachelor's,60k–100k,Rural,India,4,5
74,24,Male,Bachelor's,30k–60k,Suburban,UK,2,3
75,31,Male,Master's,<30k,Suburban,India,3,4
76,22,Male,Master's,60k–100k,Rural,Nigeria,3,1
77,51,Female,High school,30k–60k,Suburban,India,4,3
78,35,Male,Bachelor's,100k+,Urban,India,3,5
79,49,Female,Master's,<30k,Suburban,India,5,3
80,36,Male,Bachelor's,60k–100k,Urban,India,5,1
81,62,Female,Bachelor's,100k+,Urban,UK,3,3
82,32,Male,Bachelor's,30k–60k,Rural,Brazil,1,2
83,60,Female,Bachelor's,60k–100k,Rural,India,4,1
84,28,Male,Doctorate,100k+,Urban,India,2,4
85,30,Female,Bachelor's,<30k,Urban,Other,5,3
86,18,Male,Master's,60k–100k,Suburban,India,2,5
87,19,Female,High school,100k+,Urban,Other,2,4
88,26,Male,Master's,<30k,Suburban,Canada,5,2
89,32,Male,Master's,30k–60k,Suburban,Brazil,2,3
90,22,Male,High school,<30k,Urban,Nigeria,1,3
91,63,Female,High school,30k–60k,Urban,Brazil,2,5
92,71,Female,Bachelor's,30k–60k,Suburban,UK,4,4
93,20,Female,Master's,<30k,Rural,USA,2,4
94,55,Male,Master's,<30k,Urban,Nigeria,4,3
95,40,Male,High school,100k+,Urban,Brazil,5,4
96,39,Male,High school,30k–60k,Suburban,USA,2,2
97,50,Female,High school,30k–60k,Rural,USA,4,3
98,49,Male,Master's,30k–60k,Urban,UK,2,3
99,40,Female,Master's,60k–100k,Rural,Brazil,3,4
100,32,Non-binary,Bachelor's,<30k,Urban,India,3,4
101,41,Female,High school,30k–60k,Urban,USA,4,4
102,75,Male,Master's,<30k,Suburban,India,3,5
103,31,Male,Bachelor's,<30k,Suburban,India,2,3
104,48,Male,Master's,60k–100k,Urban,USA,2,4
105,22,Female,Bachelor's,30k–60k,Rural,India,3,2
106,52,Female,Master's,<30k,Suburban,Brazil,3,2
107,61,Female,Bachelor's,30k–60k,Suburban,Canada,2,4
108,21,Male,High school,60k–100k,Urban,Brazil,1,5
109,40,Male,Master's,<30k,Rural,Canada,3,1
110,63,Female,High school,100k+,Urban,Nigeria,2,5
111,60,Female,High school,<30k,Rural,USA,4,5
112,33,Non-binary,Master's,60k–100k,Urban,India,3,3
113,51,Female,High school,60k–100k,Urban,USA,2,2
114,51,Male,High school,<30k,Urban,Canada,1,5
115,33,Male,Bachelor's,30k–60k,Urban,India,3,5
116,28,Male,High school,<30k,Suburban,Nigeria,4,2
117,33,Female,Bachelor's,<30k,Suburban,Nigeria,2,2
118,37,Male,Bachelor's,30k–60k,Rural,USA,5,5
119,20,Male,High school,30k–60k,Suburban,Brazil,3,4
120,31,Male,High school,30k–60k,Suburban,USA,3,3
121,37,Male,Master's,100k+,Suburban,India,2,4
122,42,Male,Bachelor's,30k–60k,Rural,India,4,4
123,53,Female,Bachelor's,<30k,Rural,Nigeria,3,2
124,36,Female,Master's,<30k,Rural,USA,3,4
125,39,Female,High school,30k–60k,Urban,Nigeria,3,3
126,37,Female,Master's,<30k,Urban,India,1,2
127,59,Female,High school,<30k,Rural,Nigeria,4,3
128,60,Male,High school,100k+,Urban,India,2,2
129,31,Male,High school,<30k,Urban,UK,3,3
130,42,Male,Bachelor's,100k+,Urban,India,1,1
131,31,Male,Master's,<30k,Suburban,Brazil,3,4
132,40,Male,Bachelor's,60k–100k,Rural,Other,4,3
133,28,Female,High school,60k–100k,Suburban,USA,4,5
134,21,Male,Master's,60k–100k,Suburban,USA,2,5
135,20,Female,Bachelor's,30k–60k,Suburban,India,1,3
136,43,Female,Bachelor's,30k–60k,Urban,Canada,4,3
137,73,Male,Bachelor's,100k+,Suburban,India,4,2
138,33,Male,High school,<30k,Suburban,UK,3,3
139,19,Female,Master's,<30k,Urban,USA,2,3
140,41,Male,High school,30k–60k,Suburban,UK,2,3
141,19,Female,Bachelor's,100k+,Rural,Canada,1,4
142,63,Male,Bachelor's,<30k,Urban,USA,1,4
143,33,Male,High school,100k+,Suburban,USA,1,2
144,68,Male,Bachelor's,100k+,Urban,UK,2,5
145,28,Female,Doctorate,30k–60k,Rural,Nigeria,5,2
146,42,Female,Master's,60k–100k,Suburban,Nigeria,3,4
147,27,Male,Master's,30k–60k,Suburban,Nigeria,5,2
148,19,Male,High school,<30k,Urban,Nigeria,4,3
149,31,Female,High school,<30k,Urban,Brazil,5,1
150,53,Female,High school,30k–60k,Urban,USA,2,1
151,47,Female,Bachelor's,60k–100k,Rural,India,3,2
152,60,Male,Bachelor's,100k+,Urban,Brazil,1,5
153,32,Male,Master's,100k+,Suburban,UK,4,3
154,51,Female,Master's,30k–60k,Urban,Brazil,2,2
155,56,Male,Bachelor's,60k–100k,Urban,USA,4,4
156,24,Male,Bachelor's,30k–60k,Urban,Nigeria,2,5
157,27,Male,Master's,30k–60k,Urban,USA,4,3
158,29,Male,Bachelor's,30k–60k,Urban,UK,2,5
159,25,Female,Master's,<30k,Rural,Brazil,5,3
160,46,Non-binary,High school,<30k,Urban,UK,1,4
161,30,Male,Master's,100k+,Rural,Other,3,4
162,23,Male,Master's,30k–60k,Suburban,India,4,2
163,62,Female,Master's,100k+,Urban,India,2,2
164,31,Male,High school,100k+,Urban,Canada,2,2
165,39,Female,Master's,30k–60k,Urban,UK,4,3
166,64,Female,High school,30k–60k,Urban,Other,2,3
167,30,Female,Master's,<30k,Suburban,USA,4,3
168,32,Female,Master's,100k+,Suburban,USA,4,2
169,21,Male,Master's,30k–60k,Suburban,India,3,4
170,40,Male,High school,30k–60k,Suburban,Brazil,3,2
171,21,Female,High school,100k+,Rural,USA,2,3
172,39,Male,High school,<30k,Suburban,USA,4,2
173,55,Female,Bachelor's,<30k,Urban,USA,2,2
174,53,Male,Doctorate,<30k,Rural,India,2,2
175,32,Male,High school,100k+,Rural,India,4,1
176,40,Male,Bachelor's,100k+,Urban,USA,2,2
177,26,Male,High school,30k–60k,Urban,India,4,4
178,26,Male,Bachelor's,<30k,Urban,India,4,3
179,50,Female,Master's,30k–60k,Rural,Nigeria,5,3
180,22,Male,Bachelor's,30k–60k,Urban,USA,3,3
181,52,Male,High school,30k–60k,Urban,Brazil,1,4
182,56,Female,Master's,30k–60k,Suburban,UK,4,5
183,30,Male,High school,<30k,Urban,Nigeria,4,4
184,55,Male,Bachelor's,30k–60k,Suburban,India,5,1
185,77,Male,Master's,60k–100k,Urban,Canada,4,3
186,49,Male,High school,30k–60k,Urban,UK,2,4
187,42,Female,High school,60k–100k,Rural,USA,2,3
188,66,Male,Bachelor's,<30k,Urban,UK,4,4
189,24,Male,Bachelor's,30k–60k,Rural,USA,2,1
190,33,Female,Bachelor's,30k–60k,Rural,Nigeria,4,1
191,31,Male,Master's,100k+,Suburban,Canada,3,4
192,59,Male,Bachelor's,60k–100k,Suburban,India,3,1
193,28,Female,Master's,<30k,Urban,Canada,3,1
194,36,Male,Bachelor's,100k+,Rural,India,3,3
195,33,Female,High school,<30k,Rural,India,4,4
196,62,Male,High school,<30k,Urban,India,5,1
197,31,Male,Master's,<30k,Urban,India,5,2
198,31,Male,Bachelor's,<30k,Urban,USA,2,4
199,36,Male,Bachelor's,30k–60k,Rural,UK,5,4
200,28,Male,Master's,60k–100k,Urban,Canada,4,3
201,45,Female,High school,100k+,Suburban,Brazil,2,2
202,30,Male,Master's,<30k,Rural,USA,3,3
203,20,Male,Bachelor's,30k–60k,Urban,Nigeria,4,1
204,27,Female,High school,100k+,Rural,Brazil,2,3
205,50,Female,Master's,30k–60k,Urban,USA,5,4
206,55,Female,Master's,<30k,Urban,India,4,1
207,38,Female,Bachelor's,<30k,Urban,Nigeria,3,4
208,18,Female,Master's,<30k,Suburban,India,1,5
209,27,Female,Bachelor's,<30k,Suburban,Nigeria,1,2
210,44,Female,Bachelor's,100k+,Urban,UK,4,4
211,22,Female,High school,<30k,Urban,India,4,5
212,59,Female,Bachelor's,60k–100k,Urban,USA,4,4
213,30,Female,Bachelor's,<30k,Urban,India,5,1
214,52,Non-binary,High school,<30k,Urban,Nigeria,3,5
215,62,Male,Bachelor's,30k–60k,Urban,Other,2,4
216,62,Male,Bachelor's,30k–60k,Urban,USA,3,2
217,44,Male,Bachelor's,<30k,Urban,Brazil,5,4
218,32,Female,High school,30k–60k,Suburban,USA,3,2
219,59,Female,High school,30k–60k,Suburban,Nigeria,3,3
220,40,Female,High school,100k+,Suburban,USA,2,2
221,34,Male,High school,<30k,Suburban,Nigeria,1,2
222,19,Male,High school,<30k,Urban,Nigeria,5,4
223,21,Female,Master's,100k+,Rural,Brazil,2,1
224,19,Non-binary,High school,100k+,Urban,India,3,2
225,21,Male,Master's,<30k,Urban,India,4,4
226,26,Female,Master's,<30k,Urban,Nigeria,3,1
227,26,Female,High school,60k–100k,Suburban,Nigeria,3,1
228,40,Female,Bachelor's,30k–60k,Suburban,Brazil,3,3
229,20,Female,High school,<30k,Urban,India,2,3
230,31,Male,High school,<30k,Suburban,UK,3,2
231,62,Male,High school,30k–60k,Urban,UK,3,4
232,30,Female,Master's,100k+,Urban,India,5,4
233,27,Male,Bachelor's,30k–60k,Urban,Nigeria,4,5
234,74,Non-binary,Bachelor's,30k–60k,Urban,Nigeria,2,3
235,20,Male,Master's,30k–60k,Urban,UK,4,2
236,68,Female,Master's,100k+,Suburban,USA,5,3
237,24,Female,Master's,100k+,Suburban,Nigeria,5,5
238,30,Male,High school,<30k,Urban,India,4,4
239,23,Female,Master's,60k–100k,Urban,Nigeria,4,4
240,43,Male,High school,<30k,Urban,India,2,3
241,29,Male,High school,100k+,Urban,Nigeria,1,2
242,30,Male,High school,60k–100k,Rural,India,2,4
243,31,Female,Master's,30k–60k,Suburban,USA,1,4
244,63,Female,Master's,<30k,Rural,USA,3,5
245,19,Male,High school,100k+,Urban,USA,3,4
246,32,Female,Bachelor's,<30k,Suburban,USA,4,3
247,32,Non-binary,Master's,<30k,Urban,Canada,1,5
248,31,Female,Master's,30k–60k,Urban,Nigeria,1,2
249,36,Male,Bachelor's,<30k,Urban,USA,2,3
250,40,Non-binary,Master's,60k–100k,Suburban,Brazil,4,2
251,21,Female,High school,<30k,Urban,USA,5,4
252,74,Female,Bachelor's,30k–60k,Urban,UK,2,4
253,27,Female,High school,100k+,Urban,India,3,2
254,49,Female,High school,<30k,Urban,UK,3,4
255,22,Male,Master's,30k–60k,Rural,Nigeria,1,5
256,40,Female,Master's,60k–100k,Suburban,USA,2,3
257,33,Non-binary,Master's,<30k,Rural,Nigeria,4,2
258,33,Male,High school,<30k,Urban,Nigeria,3,3
259,20,Female,Bachelor's,60k–100k,Rural,Nigeria,3,2
260,22,Male,Bachelor's,100k+,Urban,USA,5,4
261,45,Male,Bachelor's,<30k,Suburban,Nigeria,1,2
262,23,Male,Bachelor's,<30k,Suburban,Nigeria,5,4
263,22,Female,High school,100k+,Suburban,India,3,2
264,27,Male,Doctorate,100k+,Urban,India,5,3
265,29,Female,Bachelor's,<30k,Urban,Nigeria,3,5
266,28,Female,Master's,30k–60k,Urban,Other,3,4
267,34,Female,Bachelor's,30k–60k,Suburban,Nigeria,2,2
268,36,Female,Master's,30k–60k,Rural,Brazil,2,4
269,33,Female,Bachelor's,<30k,Urban,UK,2,4
270,20,Female,Master's,<30k,Urban,USA,3,5
271,73,Female,Bachelor's,<30k,Urban,Nigeria,2,3
272,24,Male,Bachelor's,100k+,Urban,India,5,3
273,31,Male,Bachelor's,60k–100k,Urban,Brazil,2,3
274,28,Female,Master's,100k+,Urban,Brazil,4,4
275,20,Female,Master's,100k+,Rural,India,3,4
276,47,Female,Bachelor's,60k–100k,Rural,Brazil,3,2
277,30,Female,Master's,60k–100k,Urban,Nigeria,4,2
278,74,Male,Master's,<30k,Suburban,USA,4,3
279,52,Female,High school,30k–60k,Suburban,USA,3,5
280,19,Female,Doctorate,30k–60k,Suburban,India,1,5
281,27,Female,High school,60k–100k,Urban,UK,3,2
282,56,Male,High school,<30k,Rural,Brazil,4,4
283,30,Male,Bachelor's,60k–100k,Suburban,Nigeria,2,5
284,20,Male,High school,<30k,Urban,Nigeria,3,5
285,52,Female,Master's,60k–100k,Urban,Other,1,1
286,49,Female,Master's,60k–100k,Urban,India,4,3
287,51,Male,High school,<30k,Urban,Brazil,1,1
288,39,Female,Bachelor's,30k–60k,Suburban,Canada,2,4
289,20,Female,Bachelor's,100k+,Suburban,USA,2,1
290,32,Female,Master's,100k+,Suburban,Brazil,4,3
291,28,Male,Doctorate,30k–60k,Urban,India,1,2
292,60,Male,High school,<30k,Urban,Nigeria,4,3
293,30,Male,Master's,30k–60k,Urban,Nigeria,2,4
294,23,Female,High school,30k–60k,Urban,USA,5,5
295,49,Male,Master's,<30k,Urban,Other,2,2
296,79,Female,Master's,100k+,Rural,India,3,3
297,39,Male,Master's,60k–100k,Urban,USA,3,1
298,37,Male,Bachelor's,<30k,Suburban,Other,2,5
299,43,Female,High school,<30k,Suburban,Brazil,3,3
300,40,Female,High school,<30k,Suburban,Nigeria,2,5
301,21,Male,High school,30k–60k,Suburban,India,3,3
302,19,Non-binary,High school,30k–60k,Urban,Nigeria,3,2
303,23,Female,High school,<30k,Rural,USA,4,2
304,29,Female,Bachelor's,30k–60k,Urban,USA,3,2
305,22,Male,Bachelor's,100k+,Urban,Brazil,2,2
306,40,Female,Master's,100k+,Suburban,Other,4,2
307,30,Female,Master's,30k–60k,Urban,India,4,2
308,29,Male,High school,30k–60k,Rural,Brazil,1,5
309,22,Female,High school,<30k,Suburban,USA,2,3
310,28,Male,High school,30k–60k,Urban,USA,2,3
311,63,Male,High school,60k–100k,Suburban,USA,1,5
312,31,Male,Bachelor's,100k+,Urban,Brazil,1,4
313,45,Male,Master's,100k+,Suburban,USA,2,3
314,33,Female,High school,<30k,Suburban,India,3,2
315,58,Female,High school,30k–60k,Suburban,India,1,2
316,33,Female,High school,<30k,Suburban,India,3,3
317,38,Non-binary,High school,30k–60k,Suburban,Brazil,2,2
318,23,Female,High school,100k+,Rural,Brazil,3,2
319,67,Male,High school,<30k,Suburban,USA,2,1
320,25,Non-binary,Bachelor's,<30k,Urban,UK,4,1
321,41,Male,Master's,60k–100k,Urban,Brazil,2,5
322,57,Female,Bachelor's,<30k,Urban,Nigeria,2,1
323,80,Male,Master's,100k+,Urban,India,4,3
324,19,Male,Bachelor's,<30k,Urban,Brazil,2,3
325,22,Male,Bachelor's,<30k,Suburban,USA,4,4
326,63,Female,High school,<30k,Urban,USA,1,1
327,18,Female,Master's,30k–60k,Urban,Nigeria,3,3
328,56,Female,Bachelor's,100k+,Suburban,USA,5,4
329,32,Male,High school,<30k,Urban,Brazil,3,1
330,42,Male,Master's,<30k,Rural,Nigeria,3,3
331,25,Female,Bachelor's,30k–60k,Urban,Canada,4,2
332,22,Female,Bachelor's,100k+,Suburban,USA,3,4
333,42,Female,Bachelor's,<30k,Urban,India,1,1
334,31,Female,High school,60k–100k,Urban,India,3,3
335,24,Female,High school,60k–100k,Suburban,Nigeria,3,4
336,30,Female,Master's,<30k,Urban,India,5,3
337,27,Female,Master's,<30k,Urban,UK,5,5
338,70,Female,Master's,<30k,Urban,India,4,3
339,46,Female,Bachelor's,100k+,Urban,Nigeria,3,2
340,48,Female,High school,<30k,Rural,Brazil,2,1
341,49,Female,High school,100k+,Suburban,India,2,3
342,54,Male,High school,<30k,Urban,Brazil,4,4
343,46,Male,High school,<30k,Suburban,USA,1,5
344,50,Male,Master's,60k–100k,Suburban,USA,3,4
345,41,Female,Bachelor's,<30k,Rural,Brazil,4,4
346,33,Male,High school,<30k,Suburban,Nigeria,5,3
347,52,Male,Bachelor's,30k–60k,Urban,India,3,1
348,38,Female,Bachelor's,30k–60k,Suburban,India,5,3
349,69,Female,Bachelor's,<30k,Suburban,India,5,3
350,21,Male,Doctorate,30k–60k,Rural,India,2,1
351,59,Male,Master's,100k+,Urban,Brazil,1,4
352,38,Female,Bachelor's,60k–100k,Urban,India,4,3
353,33,Female,Bachelor's,100k+,Urban,India,2,4
354,53,Female,High school,<30k,Urban,USA,2,2
355,54,Male,Master's,100k+,Suburban,USA,3,5
356,27,Female,Master's,<30k,Suburban,Other,5,3
357,27,Female,Bachelor's,<30k,Suburban,Canada,2,2
358,54,Female,High school,<30k,Urban,Other,3,1
359,33,Male,Master's,60k–100k,Suburban,Nigeria,5,2
360,28,Male,Bachelor's,30k–60k,Urban,Brazil,5,3
361,42,Female,High school,<30k,Suburban,UK,2,3
362,27,Male,High school,100k+,Rural,India,1,1
363,49,Male,High school,30k–60k,Suburban,Brazil,4,3
364,22,Male,Bachelor's,30k–60k,Urban,Other,2,3
365,59,Male,High school,<30k,Rural,Other,3,3
366,27,Female,High school,<30k,Rural,India,4,4
367,36,Female,High school,60k–100k,Rural,Brazil,4,5
368,20,Female,Bachelor's,60k–100k,Suburban,Brazil,4,1
369,26,Male,High school,<30k,Rural,Nigeria,3,3
370,43,Female,Bachelor's,<30k,Suburban,India,5,2
371,33,Male,Bachelor's,60k–100k,Urban,Nigeria,3,4
372,22,Female,High school,100k+,Urban,UK,4,3
373,48,Male,Bachelor's,30k–60k,Urban,India,1,5
374,80,Female,Master's,100k+,Rural,Other,2,4
375,41,Non-binary,High school,60k–100k,Urban,Other,4,5
376,46,Female,Master's,<30k,Suburban,India,3,3
377,54,Male,Master's,<30k,Urban,Other,3,4
378,61,Female,Bachelor's,30k–60k,Suburban,India,2,1
379,23,Male,Bachelor's,100k+,Suburban,Nigeria,3,1
380,50,Female,Master's,60k–100k,Urban,USA,1,2
381,42,Male,High school,<30k,Rural,UK,4,5
382,21,Female,Doctorate,<30k,Suburban,India,2,4
383,54,Male,High school,<30k,Urban,UK,2,3
384,29,Female,Bachelor's,60k–100k,Urban,USA,2,3
385,48,Female,Bachelor's,<30k,Urban,Nigeria,1,4
386,40,Male,Master's,30k–60k,Urban,USA,2,3
387,42,Female,Bachelor's,60k–100k,Urban,Brazil,2,2
388,20,Male,High school,<30k,Suburban,Canada,4,1
389,39,Female,Doctorate,30k–60k,Urban,USA,2,3
390,31,Female,High school,<30k,Suburban,UK,3,4
391,44,Non-binary,Bachelor's,<30k,Rural,India,5,2
392,27,Non-binary,Bachelor's,100k+,Urban,India,4,4
393,57,Female,High school,<30k,Urban,Nigeria,5,3
394,60,Male,Bachelor's,<30k,Urban,India,5,3
395,64,Male,Master's,60k–100k,Urban,USA,4,3
396,28,Male,Bachelor's,30k–60k,Urban,Brazil,4,3
397,40,Female,High school,<30k,Suburban,Other,4,2
398,21,Female,Master's,60k–100k,Urban,Nigeria,4,3
399,22,Female,Master's,30k–60k,Suburban,India,1,2
400,22,Male,Doctorate,<30k,Urban,USA,3,2
401,18,Male,Bachelor's,<30k,Suburban,USA,3,4
402,40,Male,Bachelor's,<30k,Urban,India,4,5
403,33,Female,Bachelor's,<30k,Urban,USA,3,4
404,57,Male,High school,60k–100k,Suburban,USA,3,1
405,29,Female,Bachelor's,30k–60k,Rural,India,1,3
406,19,Male,Bachelor's,30k–60k,Urban,India,3,4
407,23,Female,Master's,<30k,Rural,Brazil,4,1
408,19,Male,Doctorate,60k–100k,Suburban,UK,2,4
409,22,Female,Master's,100k+,Suburban,Brazil,4,5
410,30,Male,Doctorate,30k–60k,Urban,USA,3,3
411,31,Male,High school,30k–60k,Urban,Nigeria,3,1
412,31,Female,Master's,<30k,Urban,USA,3,3
413,32,Male,Master's,100k+,Suburban,Nigeria,2,3
414,27,Female,Bachelor's,<30k,Suburban,Canada,4,3
415,58,Female,Master's,<30k,Urban,USA,5,5
416,18,Female,Bachelor's,60k–100k,Suburban,Other,4,4
417,30,Male,High school,100k+,Urban,Nigeria,1,5
418,23,Female,Bachelor's,100k+,Suburban,UK,5,2
419,50,Female,Master's,<30k,Suburban,India,5,5
420,63,Female,Bachelor's,<30k,Urban,USA,1,2
421,61,Female,Master's,100k+,Suburban,Canada,1,2
422,42,Female,Master's,100k+,Rural,UK,1,5
423,21,Male,High school,<30k,Urban,UK,5,2
424,46,Female,Bachelor's,<30k,Urban,India,4,2
425,60,Female,High school,100k+,Urban,Nigeria,4,4
426,29,Female,Bachelor's,60k–100k,Suburban,USA,1,3
427,29,Female,Master's,100k+,Rural,USA,2,5
428,54,Male,Bachelor's,<30k,Suburban,Nigeria,5,4
429,39,Female,Bachelor's,30k–60k,Suburban,Brazil,4,3
430,24,Female,Bachelor's,30k–60k,Urban,Brazil,4,3
431,60,Male,Master's,60k–100k,Suburban,USA,3,1
432,25,Male,Master's,100k+,Urban,USA,1,4
433,53,Female,Master's,60k–100k,Suburban,India,5,4
434,26,Non-binary,Master's,<30k,Rural,India,3,3
435,42,Female,Master's,<30k,Urban,Nigeria,5,4
436,28,Female,Bachelor's,<30k,Suburban,USA,3,2
437,22,Male,High school,30k–60k,Urban,USA,2,2
438,24,Female,Bachelor's,60k–100k,Urban,Brazil,4,1
439,47,Female,Bachelor's,30k–60k,Urban,Nigeria,1,2
440,52,Male,Bachelor's,30k–60k,Rural,USA,5,1
441,37,Female,High school,<30k,Rural,Brazil,2,2
442,32,Male,High school,<30k,Urban,USA,4,4
443,21,Male,High school,<30k,Urban,UK,3,5
444,33,Female,Master's,100k+,Urban,Brazil,3,1
445,35,Female,Bachelor's,<30k,Urban,USA,2,2
446,41,Male,Bachelor's,60k–100k,Urban,India,2,2
447,35,Male,Bachelor's,60k–100k,Urban,India,4,3
448,43,Female,Bachelor's,30k–60k,Urban,Brazil,3,2
449,22,Male,Bachelor's,100k+,Rural,Nigeria,3,2
450,21,Female,Bachelor's,30k–60k,Urban,India,2,4
451,35,Female,High school,100k+,Urban,USA,4,4
452,61,Male,High school,100k+,Urban,India,2,2
453,33,Non-binary,Bachelor's,30k–60k,Urban,Brazil,3,5
454,78,Male,Doctorate,<30k,Urban,Brazil,4,5
455,36,Female,High school,<30k,Urban,Canada,5,4
456,43,Female,High school,100k+,Rural,India,3,2
457,20,Female,Bachelor's,<30k,Urban,India,5,1
458,29,Female,High school,30k–60k,Rural,India,3,4
459,20,Male,Doctorate,<30k,Urban,UK,5,4
460,59,Male,High school,30k–60k,Suburban,USA,5,4
461,39,Male,High school,<30k,Rural,USA,1,4
462,38,Male,High school,30k–60k,Urban,India,1,4
463,34,Female,Master's,100k+,Rural,Nigeria,4,2
464,28,Female,Bachelor's,<30k,Urban,UK,3,3
465,52,Female,High school,<30k,Urban,Nigeria,4,5
466,36,Female,Master's,100k+,Rural,UK,3,5
467,33,Female,Bachelor's,100k+,Urban,USA,3,2
468,28,Female,Bachelor's,<30k,Urban,India,1,4
469,34,Male,Bachelor's,<30k,Urban,USA,2,1
470,41,Female,Master's,30k–60k,Suburban,Other,3,5
471,26,Male,Master's,60k–100k,Urban,India,5,5
472,41,Male,High school,100k+,Rural,India,3,3
473,30,Male,Bachelor's,<30k,Urban,India,1,4
474,27,Female,Master's,60k–100k,Rural,USA,4,3
475,50,Female,Master's,30k–60k,Suburban,India,2,2
476,18,Male,Master's,60k–100k,Suburban,Nigeria,3,4
477,42,Female,Master's,60k–100k,Urban,Brazil,5,2
478,19,Male,High school,<30k,Suburban,Brazil,1,2
479,37,Female,Bachelor's,60k–100k,Rural,USA,4,3
480,23,Female,Bachelor's,<30k,Urban,USA,5,5
481,43,Female,Master's,30k–60k,Urban,Nigeria,2,3
482,37,Female,Bachelor's,30k–60k,Urban,USA,3,4
483,19,Non-binary,Bachelor's,30k–60k,Rural,Brazil,2,4
484,33,Female,Master's,100k+,Urban,India,2,4
